id,x,y,color
0,65.199,2.056,blue
0,69.499,1.126,yellow
0,65.204,2.006,blue
0,69.562,2.617,yellow
0,65.254,1.856,blue
0,69.069,4.049,yellow
0,65.228,1.876,blue
0,68.166,5.152,yellow
0,64.932,2.077,blue
0,67.068,5.923,yellow
0,64.319,2.351,blue
0,65.853,6.475,yellow
0,63.417,2.63,blue
0,64.522,6.889,yellow
0,62.267,2.881,blue
0,63.067,7.208,yellow
0,60.902,3.096,blue
0,61.487,7.457,yellow
0,65.204,2.006,blue
0,63.067,7.208,yellow
1,65.201,2.069,blue
1,69.577,1.611,yellow
1,65.216,1.95,blue
1,69.458,3.118,yellow
1,65.266,1.838,blue
1,68.801,4.458,yellow
1,65.164,1.928,blue
1,67.815,5.441,yellow
1,64.762,2.164,blue
1,66.675,6.127,yellow
1,64.048,2.446,blue
1,65.422,6.626,yellow
1,63.059,2.718,blue
1,64.051,7.004,yellow
1,61.834,2.957,blue
1,62.554,7.298,yellow
1,60.404,3.16,blue
1,60.933,7.528,yellow
2,65.204,2.006,blue
2,69.562,2.617,yellow
2,65.254,1.856,blue
2,69.069,4.049,yellow
2,65.228,1.876,blue
2,68.166,5.152,yellow
2,64.932,2.077,blue
2,67.068,5.923,yellow
2,64.319,2.351,blue
2,65.853,6.475,yellow
2,63.417,2.63,blue
2,64.522,6.889,yellow
2,62.267,2.881,blue
2,63.067,7.208,yellow
2,60.902,3.096,blue
2,61.487,7.457,yellow
2,59.352,3.275,blue
2,59.786,7.653,yellow
2,62.703,-0.702,blue
2,65.445,-4.144,yellow
3,65.216,1.95,blue
3,69.458,3.118,yellow
3,65.266,1.838,blue
3,68.801,4.458,yellow
3,65.164,1.928,blue
3,67.815,5.441,yellow
3,64.762,2.164,blue
3,66.675,6.127,yellow
3,64.048,2.446,blue
3,65.422,6.626,yellow
3,63.059,2.718,blue
3,64.051,7.004,yellow
3,61.834,2.957,blue
3,62.554,7.298,yellow
3,60.404,3.16,blue
3,60.933,7.528,yellow
3,58.798,3.327,blue
3,59.194,7.709,yellow
3,63.098,-0.38,blue
3,65.924,-3.753,yellow
3,62.703,-0.702,blue
3,65.445,-4.144,yellow
4,65.254,1.856,blue
4,69.069,4.049,yellow
4,65.228,1.876,blue
4,68.166,5.152,yellow
4,64.932,2.077,blue
4,67.068,5.923,yellow
4,64.319,2.351,blue
4,65.853,6.475,yellow
4,63.417,2.63,blue
4,64.522,6.889,yellow
4,62.267,2.881,blue
4,63.067,7.208,yellow
4,60.902,3.096,blue
4,61.487,7.457,yellow
4,59.352,3.275,blue
4,59.786,7.653,yellow
4,57.642,3.423,blue
4,57.974,7.81,yellow
4,63.784,0.227,blue
4,66.799,-2.978,yellow
4,63.458,-0.07,blue
4,66.375,-3.364,yellow
4,63.098,-0.38,blue
4,65.924,-3.753,yellow
4,65.228,1.876,blue
5,65.26,1.845,blue
5,68.496,4.826,yellow
5,65.066,1.997,blue
5,67.448,5.696,yellow
5,64.557,2.257,blue
5,66.27,6.31,yellow
5,63.747,2.539,blue
5,64.979,6.763,yellow
5,62.675,2.801,blue
5,63.566,7.11,yellow
5,61.379,3.029,blue
5,62.027,7.381,yellow
5,59.888,3.219,blue
5,60.366,7.593,yellow
5,58.228,3.376,blue
5,58.589,7.761,yellow
5,56.423,3.508,blue
5,56.709,7.899,yellow
5,64.332,0.777,blue
5,67.565,-2.208,yellow
5,64.075,0.51,blue
5,67.195,-2.593,yellow
5,63.784,0.227,blue
5,66.799,-2.978,yellow
5,63.458,-0.07,blue
5,66.375,-3.364,yellow
6,65.228,1.876,blue
6,68.166,5.152,yellow
6,64.932,2.077,blue
6,67.068,5.923,yellow
6,64.319,2.351,blue
6,65.853,6.475,yellow
6,63.417,2.63,blue
6,64.522,6.889,yellow
6,62.267,2.881,blue
6,63.067,7.208,yellow
6,60.902,3.096,blue
6,61.487,7.457,yellow
6,59.352,3.275,blue
6,59.786,7.653,yellow
6,57.642,3.423,blue
6,57.974,7.81,yellow
6,55.792,3.548,blue
6,56.062,7.94,yellow
6,64.553,1.026,blue
6,67.907,-1.821,yellow
6,64.332,0.777,blue
6,67.565,-2.208,yellow
6,64.075,0.51,blue
6,67.195,-2.593,yellow
6,63.784,0.227,blue
6,66.799,-2.978,yellow
7,65.066,1.997,blue
7,67.448,5.696,yellow
7,64.557,2.257,blue
7,66.27,6.31,yellow
7,63.747,2.539,blue
7,64.979,6.763,yellow
7,62.675,2.801,blue
7,63.566,7.11,yellow
7,61.379,3.029,blue
7,62.027,7.381,yellow
7,59.888,3.219,blue
7,60.366,7.593,yellow
7,58.228,3.376,blue
7,58.589,7.761,yellow
7,56.423,3.508,blue
7,56.709,7.899,yellow
7,54.492,3.624,blue
7,54.738,8.017,yellow
8,64.932,2.077,blue
8,67.068,5.923,yellow
8,64.319,2.351,blue
8,65.853,6.475,yellow
8,63.417,2.63,blue
8,64.522,6.889,yellow
8,62.267,2.881,blue
8,63.067,7.208,yellow
8,60.902,3.096,blue
8,61.487,7.457,yellow
8,59.352,3.275,blue
8,59.786,7.653,yellow
8,57.642,3.423,blue
8,57.974,7.81,yellow
8,55.792,3.548,blue
8,56.062,7.94,yellow
8,53.824,3.661,blue
8,54.063,8.054,yellow
8,64.319,2.351,blue
9,64.557,2.257,blue
9,66.27,6.31,yellow
9,63.747,2.539,blue
9,64.979,6.763,yellow
9,62.675,2.801,blue
9,63.566,7.11,yellow
9,61.379,3.029,blue
9,62.027,7.381,yellow
9,59.888,3.219,blue
9,60.366,7.593,yellow
9,58.228,3.376,blue
9,58.589,7.761,yellow
9,56.423,3.508,blue
9,56.709,7.899,yellow
9,54.492,3.624,blue
9,54.738,8.017,yellow
9,52.455,3.734,blue
9,52.689,8.128,yellow
10,64.048,2.446,blue
10,65.422,6.626,yellow
10,63.059,2.718,blue
10,64.051,7.004,yellow
10,61.834,2.957,blue
10,62.554,7.298,yellow
10,60.404,3.16,blue
10,60.933,7.528,yellow
10,58.798,3.327,blue
10,59.194,7.709,yellow
10,57.04,3.466,blue
10,57.347,7.856,yellow
10,55.149,3.586,blue
10,55.404,7.979,yellow
10,53.145,3.697,blue
10,53.38,8.091,yellow
