id,x,y,color
0,-25.036,-11.924,blue
0,-22.828,-15.959,yellow
0,-17.981,-7.963,blue
0,-15.69,-11.952,yellow
0,-10.822,-3.784,blue
0,-8.48,-7.743,yellow
0,-6.012,-0.921,blue
0,-3.651,-4.869,yellow
0,-1.183,1.972,blue
0,1.183,-1.972,yellow
0,3.651,4.869,blue
0,6.012,0.921,yellow
0,8.48,7.743,blue
0,10.822,3.784,yellow
0,15.69,11.952,blue
0,17.981,7.963,yellow
0,22.828,15.959,blue
0,25.036,11.924,yellow
0,6.067,-6.311,blue
0,8.42,-2.358,yellow
0,-8.42,2.358,blue
0,-6.067,6.311,yellow
0,-10.822,-3.784,blue
0,3.651,4.869,blue
1,-22.698,-10.633,blue
1,-20.459,-14.651,yellow
1,-15.604,-6.59,blue
1,-13.293,-10.567,yellow
1,-8.42,-2.358,blue
1,-6.067,-6.311,yellow
1,-3.599,0.523,blue
1,-1.234,-3.422,yellow
1,1.234,3.422,blue
1,3.599,-0.523,yellow
1,6.067,6.311,blue
1,8.42,2.358,yellow
1,10.89,9.163,blue
1,13.218,5.196,yellow
1,18.079,13.314,blue
1,20.346,9.311,yellow
1,25.184,17.236,blue
1,27.357,13.182,yellow
1,3.651,-4.869,blue
1,6.012,-0.921,yellow
1,-10.822,3.784,blue
1,-8.48,7.743,yellow
2,-20.346,-9.311,blue
2,-18.079,-13.314,yellow
2,-13.218,-5.196,blue
2,-10.89,-9.163,yellow
2,-6.012,-0.921,blue
2,-3.651,-4.869,yellow
2,-1.183,1.972,blue
2,1.183,-1.972,yellow
2,3.651,4.869,blue
2,6.012,0.921,yellow
2,8.48,7.743,blue
2,10.822,3.784,yellow
2,13.293,10.567,blue
2,15.604,6.59,yellow
2,20.459,14.651,blue
2,22.698,10.633,yellow
2,27.527,18.478,blue
2,29.662,14.403,yellow
2,1.234,-3.422,blue
2,3.599,0.523,yellow
2,-13.218,5.196,blue
2,-10.89,9.163,yellow
3,-17.981,-7.963,blue
3,-15.69,-11.952,yellow
3,-10.822,-3.784,blue
3,-8.48,-7.743,yellow
3,-3.599,0.523,blue
3,-1.234,-3.422,yellow
3,1.234,3.422,blue
3,3.599,-0.523,yellow
3,6.067,6.311,blue
3,8.42,2.358,yellow
3,10.89,9.163,blue
3,13.218,5.196,yellow
3,15.69,11.952,blue
3,17.981,7.963,yellow
3,22.828,15.959,blue
3,25.036,11.924,yellow
3,29.856,19.682,blue
3,31.947,15.585,yellow
3,-1.183,-1.972,blue
3,1.183,1.972,yellow
3,-15.604,6.59,blue
3,-13.293,10.567,yellow
3,-3.599,0.523,blue
4,-15.604,-6.59,blue
4,-13.293,-10.567,yellow
4,-8.42,-2.358,blue
4,-6.067,-6.311,yellow
4,-1.183,1.972,blue
4,1.183,-1.972,yellow
4,3.651,4.869,blue
4,6.012,0.921,yellow
4,8.48,7.743,blue
4,10.822,3.784,yellow
4,13.293,10.567,blue
4,15.604,6.59,yellow
4,18.079,13.314,blue
4,20.346,9.311,yellow
4,25.184,17.236,blue
4,27.357,13.182,yellow
4,32.169,20.846,blue
4,34.213,16.725,yellow
4,-3.599,-0.523,blue
4,-1.234,3.422,yellow
4,-17.981,7.963,blue
4,-15.69,11.952,yellow
5,-13.218,-5.196,blue
5,-10.89,-9.163,yellow
5,-6.012,-0.921,blue
5,-3.651,-4.869,yellow
5,1.234,3.422,blue
5,3.599,-0.523,yellow
5,6.067,6.311,blue
5,8.42,2.358,yellow
5,10.89,9.163,blue
5,13.218,5.196,yellow
5,15.69,11.952,blue
5,17.981,7.963,yellow
5,20.459,14.651,blue
5,22.698,10.633,yellow
5,27.527,18.478,blue
5,29.662,14.403,yellow
5,34.465,21.967,blue
5,36.456,17.82,yellow
6,-8.42,-2.358,blue
6,-6.067,-6.311,yellow
6,-1.183,1.972,blue
6,1.183,-1.972,yellow
6,6.067,6.311,blue
6,8.42,2.358,yellow
6,10.89,9.163,blue
6,13.218,5.196,yellow
6,15.69,11.952,blue
6,17.981,7.963,yellow
6,20.459,14.651,blue
6,22.698,10.633,yellow
6,25.184,17.236,blue
6,27.357,13.182,yellow
6,32.169,20.846,blue
6,34.213,16.725,yellow
6,39.0,24.069,blue
6,40.873,19.867,yellow
6,6.067,6.311,blue
7,-6.012,-0.921,blue
7,-3.651,-4.869,yellow
7,1.234,3.422,blue
7,3.599,-0.523,yellow
7,8.48,7.743,blue
7,10.822,3.784,yellow
