id,x,y,color
0,0.0,1.5,blue
0,0.0,-1.5,yellow
1,1.0,1.5,blue
1,1.0,-1.5,yellow
2,2.0,1.5,blue
2,2.0,-1.5,yellow
3,3.0,1.5,blue
3,3.0,-1.5,yellow
4,4.0,1.5,blue
4,4.0,-1.5,yellow
5,5.0,1.5,blue
5,5.0,-1.5,yellow
6,6.0,1.5,blue
6,6.0,-1.5,yellow
7,7.0,1.5,blue
7,7.0,-1.5,yellow
8,8.0,1.5,blue
8,8.0,-1.5,yellow
9,9.0,1.5,blue
9,9.0,-1.5,yellow
10,10.0,1.5,blue
10,10.0,-1.5,yellow
11,11.0,1.5,blue
11,11.0,-1.5,yellow
12,12.0,1.5,blue
12,12.0,-1.5,yellow
13,13.0,1.5,blue
13,13.0,-1.5,yellow
14,14.0,1.5,blue
14,14.0,-1.5,yellow
15,15.0,1.5,blue
15,15.0,-1.5,yellow
16,16.0,1.5,blue
16,16.0,-1.5,yellow
17,17.0,1.5,blue
17,17.0,-1.5,yellow
18,18.0,1.5,blue
18,18.0,-1.5,yellow
19,19.0,1.5,blue
19,19.0,-1.5,yellow
20,20.0,1.5,blue
20,20.0,-1.5,yellow
21,21.0,1.5,blue
21,21.0,-1.5,yellow
22,22.0,1.5,blue
22,22.0,-1.5,yellow
23,23.0,1.5,blue
23,23.0,-1.5,yellow
24,24.0,1.5,blue
24,24.0,-1.5,yellow
25,25.0,1.5,blue
25,25.0,-1.5,yellow
26,25.555,1.521,blue
26,25.777,-1.471,yellow
27,26.107,1.582,blue
27,26.55,-1.385,yellow
28,26.653,1.684,blue
28,27.314,-1.242,yellow
29,27.19,1.827,blue
29,28.066,-1.042,yellow
30,27.715,2.009,blue
30,28.801,-0.788,yellow
31,28.225,2.229,blue
31,29.515,-0.48,yellow
32,28.717,2.486,blue
32,30.204,-0.12,yellow
33,29.189,2.779,blue
33,30.864,0.29,yellow
34,29.638,3.106,blue
34,31.493,0.748,yellow
35,30.061,3.465,blue
35,32.086,1.251,yellow
36,30.457,3.855,blue
36,32.64,1.797,yellow
37,30.823,4.273,blue
37,33.152,2.382,yellow
38,31.157,4.717,blue
38,33.619,3.004,yellow
39,31.457,5.184,blue
39,34.039,3.658,yellow
40,31.721,5.673,blue
40,34.41,4.342,yellow
41,31.949,6.179,blue
41,34.729,5.051,yellow
42,32.139,6.701,blue
42,34.995,5.782,yellow
43,32.29,7.236,blue
43,35.205,6.53,yellow
44,32.4,7.78,blue
44,35.36,7.292,yellow
45,32.47,8.331,blue
45,35.458,8.063,yellow
46,32.499,8.886,blue
46,35.499,8.84,yellow
47,32.5,9.529,blue
47,35.5,9.529,yellow
48,32.5,10.529,blue
48,35.5,10.529,yellow
49,32.5,11.529,blue
49,35.5,11.529,yellow
50,32.5,12.529,blue
50,35.5,12.529,yellow
51,32.5,13.529,blue
51,35.5,13.529,yellow
52,32.5,14.529,blue
52,35.5,14.529,yellow
53,32.5,15.529,blue
53,35.5,15.529,yellow
54,32.5,16.529,blue
54,35.5,16.529,yellow
55,32.5,17.529,blue
55,35.5,17.529,yellow
56,32.5,18.529,blue
56,35.5,18.529,yellow
57,32.5,19.529,blue
57,35.5,19.529,yellow
58,32.5,20.529,blue
58,35.5,20.529,yellow
59,32.5,21.529,blue
59,35.5,21.529,yellow
60,32.5,22.529,blue
60,35.5,22.529,yellow
61,32.5,23.529,blue
61,35.5,23.529,yellow
62,32.479,24.352,blue
62,35.459,24.704,yellow
63,32.422,24.68,blue
63,35.344,25.361,yellow
64,32.328,25.0,blue
64,35.157,26.0,yellow
