id,x,y,color
0,-16.679,14.589,blue
0,-16.571,14.461,yellow
1,-16.716,13.523,blue
1,-16.534,13.527,yellow
2,-16.816,12.526,blue
2,-16.334,12.624,yellow
3,-16.630,11.756,blue
3,-15.920,11.877,yellow
4,-16.635,10.816,blue
4,-15.915,10.816,yellow
5,-16.635,9.816,blue
5,-15.915,9.816,yellow
6,-16.635,8.816,blue
6,-15.915,8.816,yellow
7,-16.635,7.816,blue
7,-15.915,7.816,yellow
8,-16.629,6.884,blue
8,-15.921,6.749,yellow
9,-16.837,6.031,blue
9,-16.413,5.950,yellow
10,-16.801,4.991,blue
10,-16.449,4.991,yellow
11,-16.801,3.991,blue
11,-16.449,3.991,yellow
12,-16.811,2.973,blue
12,-16.439,3.008,yellow
13,-16.687,2.048,blue
13,-16.202,2.141,yellow
14,-16.634,1.133,blue
14,-15.916,1.196,yellow
15,-16.635,0.165,blue
15,-15.915,0.165,yellow
16,-16.635,-0.835,blue
16,-15.915,-0.835,yellow
17,-16.635,-1.835,blue
17,-15.915,-1.835,yellow
18,-16.635,-2.835,blue
18,-15.915,-2.835,yellow
19,-16.635,-3.835,blue
19,-15.915,-3.835,yellow
20,-16.635,-4.835,blue
20,-15.915,-4.835,yellow
21,-16.635,-5.835,blue
21,-15.915,-5.835,yellow
22,-16.628,-6.906,blue
22,-15.922,-6.764,yellow
23,-16.027,-7.702,blue
23,-15.845,-7.348,yellow
24,-14.936,-7.609,blue
24,-14.936,-7.441,yellow
25,-13.936,-7.609,blue
25,-13.936,-7.441,yellow
26,-12.936,-7.609,blue
26,-12.936,-7.441,yellow
27,-11.924,-7.640,blue
27,-11.948,-7.410,yellow
28,-10.845,-7.542,blue
28,-11.405,-7.129,yellow
29,-9.575,-6.394,blue
29,-12.575,-6.318,yellow
30,-9.575,-5.356,blue
30,-12.575,-5.356,yellow
31,-9.575,-4.356,blue
31,-12.575,-4.356,yellow
32,-9.632,-3.765,blue
32,-12.518,-2.948,yellow
33,-10.068,-4.167,blue
33,-11.186,-1.383,yellow
34,-9.627,-4.275,blue
34,-9.627,-1.275,yellow
35,-8.627,-4.275,blue
35,-8.627,-1.275,yellow
36,-7.627,-4.275,blue
36,-7.627,-1.275,yellow
37,-6.627,-4.275,blue
37,-6.627,-1.275,yellow
38,-5.627,-4.275,blue
38,-5.627,-1.275,yellow
39,-4.627,-4.275,blue
39,-4.627,-1.275,yellow
40,-3.627,-4.275,blue
40,-3.627,-1.275,yellow
41,-2.627,-4.275,blue
41,-2.627,-1.275,yellow
42,-1.627,-4.275,blue
42,-1.627,-1.275,yellow
43,-0.627,-4.275,blue
43,-0.627,-1.275,yellow
44,0.373,-4.275,blue
44,0.373,-1.275,yellow
45,1.373,-4.275,blue
45,1.373,-1.275,yellow
46,2.373,-4.275,blue
46,2.373,-1.275,yellow
47,3.373,-4.275,blue
47,3.373,-1.275,yellow
48,4.373,-4.275,blue
48,4.373,-1.275,yellow
49,5.373,-4.275,blue
49,5.373,-1.275,yellow
50,6.139,-4.257,blue
50,6.607,-1.293,yellow
51,5.832,-3.813,blue
51,8.418,-2.291,yellow
52,5.633,-4.208,blue
52,8.617,-3.897,yellow
53,6.007,-5.686,blue
53,8.643,-4.253,yellow
54,7.219,-6.884,blue
54,8.754,-4.389,yellow
55,8.642,-7.402,blue
55,9.097,-4.437,yellow
56,9.901,-7.425,blue
56,9.833,-4.425,yellow
57,11.173,-7.300,blue
57,10.520,-4.450,yellow
58,12.621,-6.648,blue
58,10.766,-4.364,yellow
59,13.625,-5.272,blue
59,10.825,-4.239,yellow
60,13.803,-4.052,blue
60,10.847,-3.542,yellow
61,13.495,-4.068,blue
61,11.570,-1.882,yellow
62,14.047,-4.143,blue
62,12.811,-1.507,yellow
63,14.786,-3.535,blue
63,13.464,-0.922,yellow
64,15.170,-3.516,blue
64,14.849,-0.534,yellow
65,16.387,-3.005,blue
65,15.633,-1.045,yellow
66,16.632,-1.508,blue
66,16.318,-1.414,yellow
67,16.559,-0.461,blue
67,16.391,-0.461,yellow
68,16.559,0.539,blue
68,16.391,0.539,yellow
69,16.559,1.539,blue
69,16.391,1.539,yellow
70,16.655,2.695,blue
70,16.295,2.382,yellow
71,15.598,4.124,blue
71,15.465,1.126,yellow
72,15.118,4.006,blue
72,13.946,1.244,yellow
73,14.902,4.456,blue
73,13.009,2.133,yellow
74,13.693,5.148,blue
74,12.599,2.360,yellow
75,13.489,4.835,blue
75,11.061,3.073,yellow
76,13.775,4.954,blue
76,10.775,4.954,yellow
77,13.775,5.954,blue
77,10.775,5.954,yellow
78,13.775,6.954,blue
78,10.775,6.954,yellow
79,13.772,7.857,blue
79,10.778,8.051,yellow
80,13.885,8.743,blue
80,10.918,9.060,yellow
81,13.927,10.099,blue
81,11.023,9.561,yellow
82,13.174,11.682,blue
82,10.976,9.646,yellow
83,11.717,12.520,blue
83,10.829,9.734,yellow
84,10.389,12.723,blue
84,10.239,9.727,yellow
85,9.314,12.725,blue
85,9.314,9.725,yellow
86,8.314,12.725,blue
86,8.314,9.725,yellow
87,7.314,12.725,blue
87,7.314,9.725,yellow
88,6.314,12.725,blue
88,6.314,9.725,yellow
89,5.314,12.725,blue
89,5.314,9.725,yellow
90,4.314,12.725,blue
90,4.314,9.725,yellow
91,3.314,12.725,blue
91,3.314,9.725,yellow
92,2.314,12.725,blue
92,2.314,9.725,yellow
93,1.314,12.725,blue
93,1.314,9.725,yellow
94,0.314,12.725,blue
94,0.314,9.725,yellow
95,-0.686,12.725,blue
95,-0.686,9.725,yellow
96,-1.686,12.725,blue
96,-1.686,9.725,yellow
97,-2.686,12.725,blue
97,-2.686,9.725,yellow
98,-3.686,12.725,blue
98,-3.686,9.725,yellow
99,-4.686,12.725,blue
99,-4.686,9.725,yellow
100,-5.686,12.725,blue
100,-5.686,9.725,yellow
101,-6.686,12.725,blue
101,-6.686,9.725,yellow
102,-7.686,12.725,blue
102,-7.686,9.725,yellow
103,-8.686,12.725,blue
103,-8.686,9.725,yellow
104,-9.686,12.725,blue
104,-9.686,9.725,yellow
105,-10.058,12.587,blue
105,-11.314,9.863,yellow
106,-9.615,12.211,blue
106,-12.535,11.519,yellow
107,-9.575,12.865,blue
107,-12.575,12.865,yellow
108,-9.611,14.192,blue
108,-12.539,13.539,yellow
109,-11.359,14.703,blue
109,-11.530,14.347,yellow
110,-12.445,14.609,blue
110,-12.445,14.441,yellow
111,-13.445,14.609,blue
111,-13.445,14.441,yellow
112,-14.445,14.609,blue
112,-14.445,14.441,yellow
113,-15.445,14.609,blue
113,-15.445,14.441,yellow
