id,x,y,color
0,0.0,1.5,blue
0,0.0,-1.5,yellow
1,1.0,1.5,blue
1,1.0,-1.5,yellow
2,2.0,1.5,blue
2,2.0,-1.5,yellow
3,3.0,1.5,blue
3,3.0,-1.5,yellow
4,4.0,1.5,blue
4,4.0,-1.5,yellow
5,5.0,1.5,blue
5,5.0,-1.5,yellow
6,6.0,1.5,blue
6,6.0,-1.5,yellow
7,7.0,1.5,blue
7,7.0,-1.5,yellow
8,8.0,1.5,blue
8,8.0,-1.5,yellow
9,9.0,1.5,blue
9,9.0,-1.5,yellow
10,10.0,1.5,blue
10,10.0,-1.5,yellow
11,11.0,1.5,blue
11,11.0,-1.5,yellow
12,12.0,1.5,blue
12,12.0,-1.5,yellow
13,13.0,1.5,blue
13,13.0,-1.5,yellow
14,14.0,1.5,blue
14,14.0,-1.5,yellow
15,15.0,1.5,blue
15,15.0,-1.5,yellow
16,16.0,1.5,blue
16,16.0,-1.5,yellow
17,17.0,1.5,blue
17,17.0,-1.5,yellow
18,18.0,1.5,blue
18,18.0,-1.5,yellow
19,19.0,1.5,blue
19,19.0,-1.5,yellow
20,20.0,1.5,blue
20,20.0,-1.5,yellow
21,21.0,1.5,blue
21,21.0,-1.5,yellow
22,22.0,1.5,blue
22,22.0,-1.5,yellow
23,23.0,1.5,blue
23,23.0,-1.5,yellow
24,24.0,1.5,blue
24,24.0,-1.5,yellow
25,25.0,1.5,blue
25,25.0,-1.5,yellow
26,26.0,1.5,blue
26,26.0,-1.5,yellow
27,27.0,1.5,blue
27,27.0,-1.5,yellow
28,28.0,1.5,blue
28,28.0,-1.5,yellow
29,29.0,1.5,blue
29,29.0,-1.5,yellow
30,30.0,1.5,blue
30,30.0,-1.5,yellow
31,31.0,1.5,blue
31,31.0,-1.5,yellow
32,32.0,1.5,blue
32,32.0,-1.5,yellow
33,33.0,1.5,blue
33,33.0,-1.5,yellow
34,34.0,1.5,blue
34,34.0,-1.5,yellow
35,35.0,1.5,blue
35,35.0,-1.5,yellow
36,36.0,1.5,blue
36,36.0,-1.5,yellow
37,37.0,1.5,blue
37,37.0,-1.5,yellow
38,38.0,1.5,blue
38,38.0,-1.5,yellow
39,39.0,1.5,blue
39,39.0,-1.5,yellow
40,40.0,1.5,blue
40,40.0,-1.5,yellow
41,41.0,1.5,blue
41,41.0,-1.5,yellow
42,42.0,1.5,blue
42,42.0,-1.5,yellow
43,43.0,1.5,blue
43,43.0,-1.5,yellow
44,44.0,1.5,blue
44,44.0,-1.5,yellow
45,45.0,1.5,blue
45,45.0,-1.5,yellow
46,46.0,1.5,blue
46,46.0,-1.5,yellow
47,47.0,1.5,blue
47,47.0,-1.5,yellow
48,48.0,1.5,blue
48,48.0,-1.5,yellow
49,49.0,1.5,blue
49,49.0,-1.5,yellow
50,50.0,1.5,blue
50,50.0,-1.5,yellow
51,51.0,1.5,blue
51,51.0,-1.5,yellow
52,52.0,1.5,blue
52,52.0,-1.5,yellow
53,53.0,1.5,blue
53,53.0,-1.5,yellow
54,54.0,1.5,blue
54,54.0,-1.5,yellow
55,55.0,1.5,blue
55,55.0,-1.5,yellow
56,56.0,1.5,blue
56,56.0,-1.5,yellow
57,57.0,1.5,blue
57,57.0,-1.5,yellow
58,58.0,1.5,blue
58,58.0,-1.5,yellow
59,59.0,1.5,blue
59,59.0,-1.5,yellow
